,tokens,labels
454,"['If', 'Conn', 'is', 'less', 'than', 'impressed', 'with', 'chevre', ',', 'he', 'has', 'a', 'loyal', 'ally', 'in', 'his', 'grandscruffy', ',', 'who', 'finds', 'it', 'great', 'when', 'it', 's', 'good', 'which', 'is', 'rarely']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1784,"['ahaha', 'that', 'just', 'made', 'my', 'day', 'xDlmfao']","[0, 0, 0, 0, 0, 0, 0]"
1022,"['My', 'mum', 'just', 'had', 'ago', 'at', 'me', 'for', 'not', 'having', 'a', 'job', 'when', 'ive', 'missed', '2', 'years', 'of', 'school', ',', 'and', 'tbh', 'if', 'im', 'gonna', 'catch', 'up', 'i', 'dont', 'have', 'time', '4', 'a', 'job']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1165,"['no', 'work', 'tonight', 'going', 'to', 'a', 'sweet', 'sixteen', 'shirt', 'and', 'tie', 'free', 'food', 'why', 'not']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
516,"['Tryna', 'Get', 'Into', 'Something', 'Tonight']","[0, 0, 0, 0, 0]"
625,"['workin', 'at', 'the', 'ol', 'Sunset', 'Bistro', 'tonight', 'come', 'get', 'some', 'grub']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
323,"['Who', 's', 'going', 'to', 'be', 'Club', 'Champ', 'this', 'year']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1734,"['Imma', 'get', 'your', 'heart', 'racing', 'in', 'my', 'skintight', 'jeans', 'be', 'your', 'teenage', 'dream', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1723,"['im', 'sick', 'had', 'a', 'bad', 'day', 'hope', 'thee', 'game', 'us', 'good']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
756,"['man', 'my', 'twin', 'wanna', 'act', 'fake', 'today', 'but', 'its', 'okay', 'bcuz', 'i', 'still', 'love', 'you']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1738,"['Lesson', 'Learned', 'for', 'today', 'Sometimes', 'making', 'changes', 'is', 'unnecessary', 'Some', 'people', 'dont', 'necessarily', 'need', 'to', 'be', 'taken', 'out', 'of', 'their', 'comfort', 'zone']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1448,"['Dylan', 'refuses', 'to', 'take', 'a', 'nap', 'and', 'he', 'was', 'up', 'before', '7am', ',', 'now', 'he', 'will', 'crash', 'late', 'and', 'stay', 'up', 'half', 'the', 'night']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
776,"['Most', 'of', 'time', 'his', 'love', 'to', 'us', 'is', 'one', 'way', 'I', 'always', 'complained', 'that', 'I', 'cant', 'feel', 'where', 'he', 'is', 'But', 'the', 'problem', 'was', 'not', 'him', ',', 'it', 'was', 'me']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1800,"['SWEETY', 'IM', 'GONNA', 'GIVe', 'YOu', 'THAT', 'FUCKING', '50000', 'WHEN', 'I', 'GET', 'IT', 'XD']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
320,"['I', 'feel', 'like', 'there', 'was', 'something', 'i', 'as', 'suppossed', 'to', 'do', 'today']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
976,"['BBL', 'started', 'tonight', ',', 'EBL', 'tmrw', ',', 'Euroleague', 'qualifiers', 'tues', 'but', 'damn', ',', 'i', 'can', 'haz', 'NBA', 'now', 'League', 'Pass', 'withdrawal', 'symptoms']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1056,"['O', 'happy', 'day', 'My', 'local', 'grocery', 'carries', 'Hoegaarden']","[0, 0, 0, 0, 0, 0, 0, 0]"
1168,"['Amber', 'Le', 'Bon', 'is', 'to', 'walk', 'in', 'Giles', 'Deacon', 's', 'Monday', 'LFW', 'show']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
267,"['That', 's', 'when', 'you', 'start', 'to', 'laugh', 'Saying', 'I', 'just', 'want', 'what', 'I', 'cant', 'have', 'Wont', 'even', 'give', 'me', 'a', 'chance']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1941,"['2', 'MORE', 'WEEKS', 'XD']","[0, 0, 0, 0]"
241,"['i', 'just', 'woke', 'up', 'from', 'the', 'worst', 'nap', 'eva', 'arggghhh', 'now', 'its', 'time', 'for', 'work', 'double', 'arggghhh']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1609,"['I', 'had', 'a', 'wonderful', 'day', 'today', 'and', 'i', 'hope', 'u', 'all', 'did', ',', 'i', 'wish', 'u', 'all', 'good', 'night', 'and', 'sweet', 'dreams', 'xoxoxo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
234,"['Grammar', 'Boot', 'Camp', 'starts', 'on', 'Monday', '7th', 'graders', 'should', 'be', 'ready', 'to', 'GOGOGO', '8th', 'Graders', 'have', 'a', 'big', 'project', 'due', 'next', 'Friday', 'be', 'ready']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,"['well', 'poolnewsfeed', 'when', 'youre', 'good', ',', 'youre', 'good']","[0, 0, 0, 0, 0, 0, 0, 0]"
843,"['All', 'Night', 'Skate', 'Session', 'tomorrow', 'night', 'Hope', 'to', 'see', 'you', 'all', 'there']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1651,"['You', 'all', 'need', 'to', 'know', 'justin', 'isnt', 'the', 'innocent', '16', 'year', 'old', 'boy', 'you', 'think', 'he', 'is', 'he', 'has', 'to', 'be', 'like', 'that', 'and', 'love', 'his', 'fans', 'so']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1207,"['But', 'in', 'any', 'case', 'I', 'suppose', 'you', 'will', 'not', 'let', 'it', 'away', 'for', 'some', 'days']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1891,"['you', 'know', 'its', 'bad', 'when', 'you', 'do', 'that', ',', 'but', 'you', 'dont', 'care']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
372,"['the', 'current', 'library', 'plan', 'is', 'to', 'go', 'Monday', 'morning', 'first', 'books', 'on', 'shelves', ',', 'then', 'holds', ',', 'then', 'check', 'bookstore', 'on', 'way', 'home', 'for', 'The', 'Replacement']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1926,"['Omfg', 'Im', 'bailing', 'out', 'of', 'the', 'car', 'right', 'now', 'my', 'mom', 'slapped', 'me', 'when', 'I', 'changed', 'the', 'radio', 'off', 'this', 'Justin', 'Bieber', 'you', 'smile', 'I', 'smile', 'fucking', 'song']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
506,"['Sleeping', 'time', 'Morgenochtend', 'maar', 'even', 'de', 'Koperdoos', 'een', 'schoonmaakbeurtje', 'geven']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1484,"['There', 'was', 'just', 'a', 'fire', 'at', 'work', 'Today', 'is', 'looking', 'up']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1571,"['Mike', 'vick', 'back', 'in', 'dat', 'line', 'up', 'its', 'bout', 'time']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,"['we', 'need', 'some', 'time', 'alone', 'we', 'need', 'to', 'let', 'it', 'BREATH']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['Made', 'it', 'back', 'home', 'to', 'GA', 'It', 'sucks', 'not', 'to', 'be', 'at', 'Disney', 'world', ',', 'but', 'its', 'good', 'to', 'be', 'home', 'Time', 'to', 'start', 'planning', 'the', 'next', 'Disney', 'World', 'trip']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2342,"['What', 'fuckin', 'luck', 'walk', 'in', 'to', 'popeyes', 'the', 'the', 'fuckin', 'line', 'is', 'full', 'of', 'I', 'dont', 'know', 'what', 'fuc', 'I', 'want', 'people', 'By', 'the', 'time', 'Im', 'up', 'I', 'have', 'to', 'wait', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556,"['its', 'a', 'good', 'day', 'today']","[0, 0, 0, 0, 0]"
1366,"['tea', 'time']","[0, 0]"
891,"['Not', 'much', 'Twitter', 'action', 'here', 'tonight', 'or', 'morning', 'from', 'you', 'southern', 'lot']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1474,"['I', 'hate', 'it', 'when', 'Im', 'tired', 'at', 'about', '8', 'but', 'by', '11', 'I', 'seem', 'to', 'be', 'awake']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,"['For', 'code', 'Ive', 'written', 'since', 'Sept', '09', ',', 'the', 'delay', 'between', 'commit', 'to', 'SCM', 'and', 'running', 'on', 'customer', 'hardware', 'has', 'been', 'about', '10', 'days']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1682,"['So', 'tired', 'Goodnight', 'twitter', 'tty', 'tomorrow']","[0, 0, 0, 0, 0, 0]"
1079,"['i', 'dunno', 'why', 'people', 'still', 'type', 'sad', 'facesmiley', 'faceraised', 'eyebrowwhen', 'its', 'alot', 'more', 'easier', 'to', 'make', 'it']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
378,"['Driving', ',', 'driving', ',', 'driving', 'away', 'to', 'Phil', 'Tasty', 'dinner', 'tonight', 'with', 'the', 'Society', 'of', 'Mining', 'and', 'Metallurgy', 'Engineers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
763,"['Who', 'loves', 'Friday', 'At', 'the', 'gym', 'now', 'Excited', 'for', 'weekend', 'plans']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
817,"['It', 's', 'time', 'to', 'CELEBRATE', 'YESSSSS', 'We', 'going', 'in', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,"['ugh', 'so', 'this', 'chick', 'onFB', 'jus', 'wrote', 'this', 'long', 'status', 'cussin', 'me', 'out', ',', 'but', 'im', 'not', 'even', 'gonna', 'stoop', 'to', 'her', 'leve', 'but', 'i', 'wanna', 'bomb', 'her', 'ass', 'out', 'so', 'bad']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
775,"['watching', 'the', 'VMA', 'preshow', 'again', 'lol', 'it', 'was', 'nt', 'even', 'a', 'good', 'show', 'the', 'first', 'time', 'so', 'bored']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1249,"['overnight', 'tonight', 'gheyyyy']","[0, 0, 0]"
624,"['Sooo', 'plans', 'for', 'tomorrow', 'night', 'I', 'gotta', 'do', 'something', 'I', 'need', 'a', 'night', 'out']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1129,"['Maybe', 'if', 'Id', 'told', 'you', 'the', 'right', 'words', 'At', 'the', 'right', 'time', 'Youd', 'be', 'mine']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2174,"['First', 'week', 'of', 'school', 'has', 'been', 'crazy', 'Everyone', 'is', 'very', 'moody', 'and', 'tired']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2289,"['argh', 'my', 'hands', 'are', 'dying', 'i', 'definitely', 'need', 'to', 'take', 'gloves', 'next', 'time']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1619,"['famous', 'people', 'looking', 'at', 'there', 'followers', 'going', 'up', 'in', '100s', 'and', 'thousands', ',', 'me', 'looking', 'at', 'my', 'couple', 'a', 'day']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2162,"['If', 'Partner', 'left', 'me', 'and', 'BB', 'I', 'would', 'not', 'hunt', 'him', 'down', 'Id', 'take', 'his', 'calls', 'but', 'it', 'would', 'be', 'his', 'job', 'to', 'make', 'sure', 'he', 'spent', 'time', 'with', 'BB']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
826,"['Think', 'the', 'article', 'should', 'be', 'ready', 'to', 'resubmit', 'next', 'week', 'Quite', 'excited', ',', 'but', 'also', 'rather', 'scared']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2322,"['The', 'forced', 'ads', 'in', 'ngmoco', 'games', 'are', 'outstandingly', 'annoying', 'Looks', 'like', 'it', 's', 'time', 'to', 'delete', 'all', 'their', 'apps', 'from', 'my', 'iOS', 'devices']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
218,"['made', 'sure', 'im', 'off', 'next', 'friday']","[0, 0, 0, 0, 0, 0]"
2187,"['changed', 'mii', 'twitta', 'name', 'i', 'wass', 'really', 'on', 'mii', 'nerd', 'floww', 'todaii', 'them', 'glasses', 'are', 'the', 'best', 'nerd', 'glasses', 'on', 'deck', 'now', 'time', 'for', 'church']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
183,"['Fresh', 'out', 'the', 'psych', 'ward', 'today']","[0, 0, 0, 0, 0, 0]"
387,"['Don', 'Mattingly', 'will', 'replace', 'Joe', 'Torre', 'as', 'LA', 'Dodgers', 'manager', 'after', 'this', 'season']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1053,"['Ciroc', 'it', 'is', 'dnt', 'have', 'a', 'move', 'tonite', 'but', 'imma', 'make', '1']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
479,"['Last', 'day']","[0, 0]"
2042,"['Stop', 'by', 'teh', 'NexTech', 'and', 'NexTech', 'Wireless', 'tent', 'at', 'TailGreat', 'tomorrow', 'evening', 'for', 'Free', 'ice', 'cream', ',', 'bottles', 'of', 'water', 'and', 'an', 'FHSU', 'foam', 'finger']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2390,"['Man', 'I', 'swear', 'I', 'bought', '2', 'new', 'outfits', 'but', 'it', 's', 'cold', 'them', 'dresses', 'not', 'gettin', 'worn', 'today']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1856,"['Oscar', 's', 'new', 'favorite', 'pass', 'time', 'is', 'running', 'as', 'fast', 'as', 'he', 'can', 'from', 'one', 'end', 'of', 'the', 'house', 'to', 'another', 'yelling', 'BuhBYYYYYE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1674,"['If', 'I', 'had', 'known', 'what', 'I', 'know', 'now', 'about', 'truck', 'drivers', ',', 'I', 'dont', 'think', 'I', 'would', 'have', 'asked', 'them', 'to', 'honk', 'as', 'much', 'when', 'I', 'was', 'younger']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1418,"['First', ',', 'I', 'had', 'these', 'crazy', 'dreams', 'all', 'last', 'night', 'Then', 'I', 'sleep', 'all', 'day', 'today', 'I', 'hope', 'nobody', 'put', 'some', 'hoodoo', 'on', 'me']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1476,"['last', 'day', 'of', 'sorting', 'pope', 'visit', 'to', 'birmingham', 'stuff', 'out', 'hope', 'it', 'goes', 'ok', 'on', 'sunday']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
923,"['Checking', 'out', 'this', 'weeks', 'tell', 'em', 'Steve', 'Dave', 'Podcast']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1527,"['Yo', 'kids', 'Today', 's', 'ACF', 'Friday', 'Large', 'Group', 'is', 'at', 'PITT', 'University', 'It', 's', 'at', 'Cathedral', 'of', 'Learning', 'G24', 'at', '7pm', 'Be', 'sure', 'to', 'check', 'it', 'out']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1147,"['Whoo', 'who', 'ready', 'for', 'some', 'Seahawk', 'football', 'Cant', 'wait', 'to', 'watch', 'my', 'dirtbags', 'on', 'sunday']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1793,"['Must', 'say', 'iPhone', 'is', 'more', 'accurate', 'Wasnt', 'brought', 'up', 'here', 'though', ',', 'Wrawby', 'is', 'where', 'I', 'spent', '18', 'years', 'of', 'my', 'life']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
271,"['Done', 'teaching', 'in', 'Viera', 'time', 'for', 'some', 'eats', 'and', 'back', 'to', 'orlando', ',', 'possibly', 'swing', 'dance', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1666,"['Had', 'a', 'little', 'bit', 'of', 'a', 'panic', 'attack', 'at', 'the', 'end', 'of', 'my', 'shift', 'today', 'I', 'was', 'cleaning', 'at', 'the', 'bar', 'and', 'then', 'a', 'bigass', 'spider', 'appeared', 'out', 'of', 'nowhere']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1104,"['Lindsay', 'Lohan', 'allegedly', 'failed', 'her', 'drug', 'test', 'So', 'not', 'fetch', 'Quick', ',', 'let', 's', 'all', 'put', 'on', 'our', 'shocked', 'faces', 'that', '23', 'days', 'of', 'rehab', 'did', 'nt', 'work']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
798,"['Action', 'is', 'the', 'foundational', 'key', 'to', 'all', 'success', 'take', 'massive', 'action', 'today', 'my', 'friends', 'and', 'watch', 'synchronicities', 'happen']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1782,"['3', 'tour', 'coaches', 'with', 'a', 'police', 'escort', 'in', 'Chapel', 'Hill', 'game', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
981,"['That', 's', 'college', 'tuition', 'That', 's', 'two', 'average', 'cars', 'That', 's', 'a', 'year', 's', 'worth', 'of', 'someone', 's', 'salary', 'That', 's', 'insaneeee']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
650,"['FRIDAY', 'yesshh', 'FiNaLlY']","[0, 0, 0]"
543,"['Toy', 'story', '3', 'tonight', 'on', 'the', 'lawn']","[0, 0, 0, 0, 0, 0, 0]"
1781,"['Just', 'as', 'i', 'have', 'pointed', 'out', 'to', 'our', 'readers', 'The', 'Canadian', 'Markets', 'offer', 'so', 'much', 'opportunity', 'Gabriel', 'Resources', 'shares', 'shoot', 'up', 'after', 'Romania', 'mo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
860,"['Just', 'got', 'all', 'caught', 'up', 'on', 'my', 'flagged', 'emails', 'from', 'the', 'week', 'Now', 'I', 'feel', 'good', 'about', 'leaving', 'the', 'office', 'for', 'the', 'weekend', 'TGIF']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2150,"['I', 'm', 'tired', 'after', 'school', 'today']","[0, 0, 0, 0, 0, 0]"
929,"['i', 'hate', 'when', 'i', 'dont', 'have', 'any', 'change', 'for', 'the', 'customers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1659,"['There', 'was', 'just', 'a', 'fire', 'at', 'work', 'Today', 'is', 'looking', 'up']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1696,"['Tomorrows', 'plan', 'is', 'a', 'little', 'skirt', 'along', 'the', 'coast', 'then', 'a', 'stop', 'in', 'Glenveagh', 'national', 'park', ',', 'should', 'be', 'a', 'picturesque', 'day', 'Est', '85', 'mile', 'of', 'riding']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1429,"['Lingerie', 'football', 'league', 'come', 'on', 'tonight']","[0, 0, 0, 0, 0, 0]"
2222,"['been', 'listenin', 'to', 'trey', 'alllll', 'week', 'can', 'u', 'luv', 'someone', 'u', 'never', 'met', 'bcuz', 'i', 'think', 'im', 'in', 'luv', 'yeeuuuuppp']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1744,"['omg', 'i', 'get', 'paid', 'today', 'yesss']","[0, 0, 0, 0, 0, 0]"
502,"['Thank', 'you', 'for', 'all', 'your', 'support', 'Best', 'wishes', 'from', 'DUKETERSShave', 'a', 'nice', 'day']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
614,"['Tonight', 'Homemade', 'ice', 'cream', 'flights', 'try', '3', 'of', 'chef', 'Tim', 's', 'boozy', 'ice', 'cream', 'creations']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2243,"['Love', 'me', 'when', 'I', 'least', 'deserve', 'it', ',', 'because', 'that', 's', 'when', 'I', 'need', 'it', 'the', 'most']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"['he', 'likes', 'prince', ',', 'paul', 'simon', ',', 'and', 'odb', 'i', 'may', 'have', 'found', 'my', 'soul', 'mate']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2308,"['my', 'past', 'was', 'the', 'reason', 'i', 'tried', 'to', 'kill', 'myself', 'the', 'other', 'day', ',', 'and', 'ill', 'gladly', 'do', 'it', 'again']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,"['today', 'just', 'doesnt', 'feel', 'like', 'a', 'Friday']","[0, 0, 0, 0, 0, 0, 0]"
